Timesteps,Mean Reward,Algorithm,Seed
8192,1664.0169677734375,CGA-PPO (Proposed),seed_101_1
16384,1673.591552734375,CGA-PPO (Proposed),seed_101_1
24576,1681.32763671875,CGA-PPO (Proposed),seed_101_1
32768,1689.34814453125,CGA-PPO (Proposed),seed_101_1
40960,1696.82080078125,CGA-PPO (Proposed),seed_101_1
49152,1703.6143798828125,CGA-PPO (Proposed),seed_101_1
57344,1710.9967041015625,CGA-PPO (Proposed),seed_101_1
65536,1716.336669921875,CGA-PPO (Proposed),seed_101_1
73728,1721.8101806640625,CGA-PPO (Proposed),seed_101_1
81920,1726.3021240234375,CGA-PPO (Proposed),seed_101_1
90112,1730.748779296875,CGA-PPO (Proposed),seed_101_1
98304,1735.024658203125,CGA-PPO (Proposed),seed_101_1
106496,1741.8175048828125,CGA-PPO (Proposed),seed_101_1
114688,1751.3251953125,CGA-PPO (Proposed),seed_101_1
122880,1759.479736328125,CGA-PPO (Proposed),seed_101_1
131072,1767.3028564453125,CGA-PPO (Proposed),seed_101_1
139264,1774.2275390625,CGA-PPO (Proposed),seed_101_1
147456,1780.1160888671875,CGA-PPO (Proposed),seed_101_1
155648,1785.94921875,CGA-PPO (Proposed),seed_101_1
163840,1790.768310546875,CGA-PPO (Proposed),seed_101_1
172032,1797.499267578125,CGA-PPO (Proposed),seed_101_1
180224,1801.279296875,CGA-PPO (Proposed),seed_101_1
188416,1804.5093994140625,CGA-PPO (Proposed),seed_101_1
196608,1807.42236328125,CGA-PPO (Proposed),seed_101_1
204800,1810.5650634765625,CGA-PPO (Proposed),seed_101_1
8192,1664.0169677734375,CGA-PPO (Proposed),seed_101_2
16384,1673.591552734375,CGA-PPO (Proposed),seed_101_2
24576,1681.32763671875,CGA-PPO (Proposed),seed_101_2
32768,1689.34814453125,CGA-PPO (Proposed),seed_101_2
40960,1696.82080078125,CGA-PPO (Proposed),seed_101_2
49152,1703.6143798828125,CGA-PPO (Proposed),seed_101_2
57344,1710.9967041015625,CGA-PPO (Proposed),seed_101_2
65536,1716.336669921875,CGA-PPO (Proposed),seed_101_2
73728,1721.8101806640625,CGA-PPO (Proposed),seed_101_2
81920,1726.3021240234375,CGA-PPO (Proposed),seed_101_2
90112,1730.748779296875,CGA-PPO (Proposed),seed_101_2
98304,1735.024658203125,CGA-PPO (Proposed),seed_101_2
106496,1741.8175048828125,CGA-PPO (Proposed),seed_101_2
114688,1751.3251953125,CGA-PPO (Proposed),seed_101_2
122880,1759.479736328125,CGA-PPO (Proposed),seed_101_2
131072,1767.3028564453125,CGA-PPO (Proposed),seed_101_2
139264,1774.2275390625,CGA-PPO (Proposed),seed_101_2
147456,1780.1160888671875,CGA-PPO (Proposed),seed_101_2
155648,1785.94921875,CGA-PPO (Proposed),seed_101_2
163840,1790.768310546875,CGA-PPO (Proposed),seed_101_2
172032,1797.499267578125,CGA-PPO (Proposed),seed_101_2
180224,1801.279296875,CGA-PPO (Proposed),seed_101_2
188416,1804.5093994140625,CGA-PPO (Proposed),seed_101_2
196608,1807.42236328125,CGA-PPO (Proposed),seed_101_2
204800,1810.5650634765625,CGA-PPO (Proposed),seed_101_2
8192,1661.357421875,CGA-PPO (Proposed),seed_103_1
16384,1675.8541259765625,CGA-PPO (Proposed),seed_103_1
24576,1683.39892578125,CGA-PPO (Proposed),seed_103_1
32768,1692.125732421875,CGA-PPO (Proposed),seed_103_1
40960,1700.09814453125,CGA-PPO (Proposed),seed_103_1
49152,1706.9677734375,CGA-PPO (Proposed),seed_103_1
57344,1712.2674560546875,CGA-PPO (Proposed),seed_103_1
65536,1717.3974609375,CGA-PPO (Proposed),seed_103_1
73728,1722.5091552734375,CGA-PPO (Proposed),seed_103_1
81920,1727.672607421875,CGA-PPO (Proposed),seed_103_1
90112,1731.920166015625,CGA-PPO (Proposed),seed_103_1
98304,1736.2645263671875,CGA-PPO (Proposed),seed_103_1
106496,1742.9722900390625,CGA-PPO (Proposed),seed_103_1
114688,1751.815185546875,CGA-PPO (Proposed),seed_103_1
122880,1759.121826171875,CGA-PPO (Proposed),seed_103_1
131072,1765.317138671875,CGA-PPO (Proposed),seed_103_1
139264,1770.1962890625,CGA-PPO (Proposed),seed_103_1
147456,1774.390625,CGA-PPO (Proposed),seed_103_1
155648,1778.3782958984375,CGA-PPO (Proposed),seed_103_1
163840,1782.0391845703125,CGA-PPO (Proposed),seed_103_1
172032,1786.565185546875,CGA-PPO (Proposed),seed_103_1
180224,1788.4151611328125,CGA-PPO (Proposed),seed_103_1
188416,1790.255126953125,CGA-PPO (Proposed),seed_103_1
196608,1791.45703125,CGA-PPO (Proposed),seed_103_1
204800,1792.8187255859375,CGA-PPO (Proposed),seed_103_1
8192,1660.0794677734375,CGA-PPO (Proposed),seed_201_1
16384,1673.0648193359375,CGA-PPO (Proposed),seed_201_1
24576,1682.4610595703125,CGA-PPO (Proposed),seed_201_1
32768,1689.482177734375,CGA-PPO (Proposed),seed_201_1
40960,1697.683349609375,CGA-PPO (Proposed),seed_201_1
49152,1705.2021484375,CGA-PPO (Proposed),seed_201_1
57344,1712.03271484375,CGA-PPO (Proposed),seed_201_1
65536,1717.0015869140625,CGA-PPO (Proposed),seed_201_1
73728,1722.3582763671875,CGA-PPO (Proposed),seed_201_1
81920,1726.6746826171875,CGA-PPO (Proposed),seed_201_1
90112,1730.60986328125,CGA-PPO (Proposed),seed_201_1
98304,1734.1885986328125,CGA-PPO (Proposed),seed_201_1
106496,1740.5440673828125,CGA-PPO (Proposed),seed_201_1
114688,1749.452392578125,CGA-PPO (Proposed),seed_201_1
122880,1756.3961181640625,CGA-PPO (Proposed),seed_201_1
131072,1762.5343017578125,CGA-PPO (Proposed),seed_201_1
139264,1768.115478515625,CGA-PPO (Proposed),seed_201_1
147456,1772.69189453125,CGA-PPO (Proposed),seed_201_1
155648,1776.863037109375,CGA-PPO (Proposed),seed_201_1
163840,1780.9266357421875,CGA-PPO (Proposed),seed_201_1
172032,1786.520751953125,CGA-PPO (Proposed),seed_201_1
180224,1790.033447265625,CGA-PPO (Proposed),seed_201_1
188416,1793.4105224609375,CGA-PPO (Proposed),seed_201_1
196608,1796.754638671875,CGA-PPO (Proposed),seed_201_1
204800,1800.25830078125,CGA-PPO (Proposed),seed_201_1
8192,1662.8089599609375,CGA-PPO (Proposed),seed_102_1
16384,1673.003662109375,CGA-PPO (Proposed),seed_102_1
24576,1685.65234375,CGA-PPO (Proposed),seed_102_1
32768,1696.87841796875,CGA-PPO (Proposed),seed_102_1
40960,1704.6500244140625,CGA-PPO (Proposed),seed_102_1
49152,1711.148193359375,CGA-PPO (Proposed),seed_102_1
57344,1717.5770263671875,CGA-PPO (Proposed),seed_102_1
65536,1722.3941650390625,CGA-PPO (Proposed),seed_102_1
73728,1727.6856689453125,CGA-PPO (Proposed),seed_102_1
81920,1732.2003173828125,CGA-PPO (Proposed),seed_102_1
90112,1736.7381591796875,CGA-PPO (Proposed),seed_102_1
98304,1740.9632568359375,CGA-PPO (Proposed),seed_102_1
106496,1748.13916015625,CGA-PPO (Proposed),seed_102_1
114688,1757.6793212890625,CGA-PPO (Proposed),seed_102_1
122880,1765.6302490234375,CGA-PPO (Proposed),seed_102_1
131072,1772.2117919921875,CGA-PPO (Proposed),seed_102_1
139264,1777.8489990234375,CGA-PPO (Proposed),seed_102_1
147456,1783.1151123046875,CGA-PPO (Proposed),seed_102_1
155648,1787.7684326171875,CGA-PPO (Proposed),seed_102_1
163840,1792.1407470703125,CGA-PPO (Proposed),seed_102_1
172032,1797.719482421875,CGA-PPO (Proposed),seed_102_1
180224,1800.818603515625,CGA-PPO (Proposed),seed_102_1
188416,1803.5240478515625,CGA-PPO (Proposed),seed_102_1
